patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,5:30 PM,1/24/14,Friday
ARC,01-5 minutes,Phone Service Point,Access Services,5:30 PM,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/25/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/25/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/25/14,Saturday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,3:00 PM,1/25/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,7:30 PM,1/25/14,Saturday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,12:00 PM,1/26/14,Sunday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,12:30 PM,1/26/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,1:00 PM,1/26/14,Sunday
ARC,10-20 minutes,In Person Service Point,Access Services,2:00 PM,1/26/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,1/26/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,3:30 PM,1/26/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,3:30 PM,1/26/14,Sunday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:30 PM,1/26/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,1/26/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,8:00 PM,1/26/14,Sunday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,8:30 AM,1/27/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,1/27/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,1/27/14,Monday
Faculty,05-10 minutes,Email Personal,Access Services,9:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,9:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,9:30 AM,1/27/14,Monday
Graduate Student,05-10 minutes,In Person Service Point,Access Services,9:30 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/27/14,Monday
Undergraduate Student,10-20 minutes,Email List,Access Services,10:30 AM,1/27/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,1/27/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,11:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,11:00 AM,1/27/14,Monday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,12:00 PM,1/27/14,Monday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,12:00 PM,1/27/14,Monday
Undergraduate Student,05-10 minutes,In Person Personal,Research and Instruction Services,12:00 PM,1/27/14,Monday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,12:30 PM,1/27/14,Monday
Alumni,10-20 minutes,Chat,Access Services,1:30 PM,1/27/14,Monday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,2:30 PM,1/27/14,Monday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,3:00 PM,1/27/14,Monday
Undergraduate Student,10-20 minutes,In Person Personal,Research and Instruction Services,3:00 PM,1/27/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,1/27/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,3:30 PM,1/27/14,Monday
Visitor/Other,20-30 minutes,Email Personal,Archives and Special Collections,3:30 PM,1/27/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,3:30 PM,1/27/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,3:30 PM,1/27/14,Monday
Faculty,01-5 minutes,Phone Service Point,Access Services,4:00 PM,1/27/14,Monday
Visitor/Other,0-1 minutes,Phone Service Point,Access Services,4:30 PM,1/27/14,Monday
Undergraduate Student,01-5 minutes,Email List,Research and Instruction Services,5:00 PM,1/27/14,Monday
Faculty,01-5 minutes,Phone Personal,Research and Instruction Services,5:00 PM,1/27/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,1/27/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,1/27/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,1/27/14,Monday
Undergraduate Student,10-20 minutes,Chat,Access Services,8:00 PM,1/27/14,Monday
Visitor/Other,01-5 minutes,Phone Personal,Archives and Special Collections,9:30 AM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,10:30 AM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,1/28/14,Tuesday
ARC,10-20 minutes,In Person Service Point,Research and Instruction Services,11:30 AM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,12:30 PM,1/28/14,Tuesday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,12:30 PM,1/28/14,Tuesday
Undergraduate Student,30-60 minutes,Email Personal,Archives and Special Collections,1:30 PM,1/28/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,1/28/14,Tuesday
Visitor/Other,20-30 minutes,Email Personal,Archives and Special Collections,2:30 PM,1/28/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,1/28/14,Tuesday
ARC,01-5 minutes,Phone Service Point,Access Services,4:00 PM,1/28/14,Tuesday
Undergraduate Student,01-5 minutes,Email List,Access Services,4:30 PM,1/28/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,5:00 PM,1/28/14,Tuesday
Undergraduate Student,01-5 minutes,Chat,Access Services,6:30 PM,1/28/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,7:30 PM,1/28/14,Tuesday
Undergraduate Student,10-20 minutes,Chat,Access Services,8:00 PM,1/28/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:30 PM,1/28/14,Tuesday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,8:00 AM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,9:30 AM,1/29/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 AM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,10:30 AM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,11:30 AM,1/29/14,Wednesday
Alumni,05-10 minutes,Chat,Access Services,11:30 AM,1/29/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,1/29/14,Wednesday
Undergraduate Student,10-20 minutes,Chat,Access Services,12:00 PM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,1/29/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,2:00 PM,1/29/14,Wednesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,2:00 PM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,2:30 PM,1/29/14,Wednesday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,2:30 PM,1/29/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,2:30 PM,1/29/14,Wednesday
Undergraduate Student,30-60 minutes,Chat,Research and Instruction Services,2:30 PM,1/29/14,Wednesday
Staff/Administration,20-30 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,1/29/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:30 PM,1/29/14,Wednesday
Undergraduate Student,20-30 minutes,Chat,Research and Instruction Services,4:30 PM,1/29/14,Wednesday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,5:00 PM,1/29/14,Wednesday
Staff/Administration,10-20 minutes,In Person Personal,Archives and Special Collections,5:30 PM,1/29/14,Wednesday
Graduate Student,05-10 minutes,In Person Personal,Archives and Special Collections,6:00 PM,1/29/14,Wednesday
Staff/Administration,05-10 minutes,In Person Service Point,Archives and Special Collections,6:00 PM,1/29/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 PM,1/29/14,Wednesday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,8:00 AM,1/30/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,8:30 AM,1/30/14,Thursday
Faculty,30-60 minutes,In Person Personal,Research and Instruction Services,9:30 AM,1/30/14,Thursday
Faculty,05-10 minutes,Phone Personal,Archives and Special Collections,10:00 AM,1/30/14,Thursday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,10:00 AM,1/30/14,Thursday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,10:00 AM,1/30/14,Thursday
Faculty,05-10 minutes,Email Personal,Archives and Special Collections,11:30 AM,1/30/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,1/30/14,Thursday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,1:30 PM,1/30/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/30/14,Thursday
Undergraduate Student,01-5 minutes,In Person Personal,Research and Instruction Services,1:30 PM,1/30/14,Thursday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,2:00 PM,1/30/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,1/30/14,Thursday
Graduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,3:00 PM,1/30/14,Thursday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,3:00 PM,1/30/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,1/30/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,3:30 PM,1/30/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,3:30 PM,1/30/14,Thursday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,3:30 PM,1/30/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,4:00 PM,1/30/14,Thursday
Graduate Student,01-5 minutes,Phone Personal,Research and Instruction Services,4:00 PM,1/30/14,Thursday
Graduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,4:00 PM,1/30/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:00 PM,1/30/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,4:30 PM,1/30/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,1/30/14,Thursday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,5:00 PM,1/30/14,Thursday
Undergraduate Student,05-10 minutes,Email Personal,Archives and Special Collections,5:30 PM,1/30/14,Thursday
Staff/Administration,60+ minutes,In Person Personal,Archives and Special Collections,6:00 PM,1/30/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 AM,1/31/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,8:30 AM,1/31/14,Friday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,9:00 AM,1/31/14,Friday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/31/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,1/31/14,Friday
Faculty,01-5 minutes,Phone Personal,Research and Instruction Services,11:30 AM,1/31/14,Friday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,12:00 PM,1/31/14,Friday
Faculty,01-5 minutes,Phone Service Point,Access Services,12:00 PM,1/31/14,Friday
Faculty,01-5 minutes,In Person Personal,Access Services,1:00 PM,1/31/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/31/14,Friday
Graduate Student,10-20 minutes,In Person Personal,Research and Instruction Services,2:00 PM,1/31/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,1/31/14,Friday
Faculty,0-1 minutes,In Person Service Point,Access Services,3:00 PM,1/31/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,1/31/14,Friday
Staff/Administration,01-5 minutes,Phone Personal,Research and Instruction Services,4:00 PM,1/31/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,4:30 PM,1/31/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,1/31/14,Friday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,11:30 AM,2/1/14,Saturday
Undergraduate Student,10-20 minutes,In Person Personal,Research and Instruction Services,3:30 PM,2/1/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,2/1/14,Saturday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,6:00 PM,2/1/14,Saturday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,11:30 AM,2/2/14,Sunday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,12:00 PM,2/2/14,Sunday
Undergraduate Student,10-20 minutes,Phone Personal,Access Services,3:30 PM,2/2/14,Sunday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,9:30 AM,2/3/14,Monday
Staff/Administration,01-5 minutes,Email Personal,Archives and Special Collections,10:00 AM,2/3/14,Monday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,11:30 AM,2/3/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,2/3/14,Monday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,1:30 PM,2/3/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,2/3/14,Monday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,2:00 PM,2/3/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,2/3/14,Monday
Undergraduate Student,60+ minutes,In Person Service Point,Archives and Special Collections,2:30 PM,2/3/14,Monday
Visitor/Other,20-30 minutes,Chat,Access Services,2:30 PM,2/3/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,2/3/14,Monday
Faculty,01-5 minutes,In Person Service Point,Access Services,2:30 PM,2/3/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,2/3/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,2/3/14,Monday
